,Year,Continent,Coal Consumption
0,1965,Asia,205876300.0
1,1966,Asia,217635000.0
2,1967,Asia,210130700.0
3,1968,Asia,211955900.0
4,1969,Asia,240484600.0
5,1970,Asia,272466600.0
6,1971,Asia,292271070.0
7,1972,Asia,304082990.0
8,1973,Asia,311843140.0
9,1974,Asia,318943420.0
10,1975,Asia,346142780.0
11,1976,Asia,352620611.0
12,1977,Asia,377142860.0
13,1978,Asia,395170230.0
14,1979,Asia,414232374.0
15,1980,Asia,437297270.0
16,1981,Asia,452869880.0
17,1982,Asia,467849430.0
18,1983,Asia,495774660.0
19,1984,Asia,540721800.0
20,1985,Asia,625251300.0
21,1986,Asia,650701890.0
22,1987,Asia,699799070.0
23,1988,Asia,749332580.0
24,1989,Asia,780507841.0
25,1990,Asia,797469400.0
26,1991,Asia,830132267.0
27,1992,Asia,862626567.0
28,1993,Asia,906045384.0
29,1994,Asia,955033358.9
30,1995,Asia,971483506.45
31,1996,Asia,1014708496.06
32,1997,Asia,1012874033.4
33,1998,Asia,1009313243.0
34,1999,Asia,1035236005.73
35,2000,Asia,1069079614.8
36,2001,Asia,1124229684.1
37,2002,Asia,1214804948.0
38,2003,Asia,1395824353.6
39,2004,Asia,1578389522.8
40,2005,Asia,1799551334.0
41,2006,Asia,1941988230.0
42,2007,Asia,2116501429.0
43,2008,Asia,2182912272.0
44,2009,Asia,2265155300.0
45,2010,Asia,2374068290.0
46,2011,Asia,2553823130.0
47,2012,Asia,2622115300.0
48,2013,Asia,2696051980.0
49,2014,Asia,2707102550.0
50,2015,Asia,2688841280.0
51,2016,Asia,2679373830.0
52,2017,Asia,2713733230.0
53,2018,Asia,2789726730.0
54,2019,Asia,2850273230.0
55,1965,Europe,514921540.0
56,1966,Europe,494161810.0
57,1967,Europe,478921700.0
58,1968,Europe,485875920.0
59,1969,Europe,492739060.0
60,1970,Europe,483876380.0
61,1971,Europe,462387946.0
62,1972,Europe,445868683.0
63,1973,Europe,453197431.0
64,1974,Europe,448094347.0
65,1975,Europe,436860233.0
66,1976,Europe,457449237.0
67,1977,Europe,456466216.0
68,1978,Europe,464301182.0
69,1979,Europe,483375800.0
70,1980,Europe,493479000.0
71,1981,Europe,483175700.0
72,1982,Europe,484836300.0
73,1983,Europe,489747600.0
74,1984,Europe,487721800.0
75,1985,Europe,801974400.0
76,1986,Europe,801348300.0
77,1987,Europe,810938200.0
78,1988,Europe,795485800.0
79,1989,Europe,781631100.0
80,1990,Europe,741178000.0
81,1991,Europe,695412000.0
82,1992,Europe,653619800.0
83,1993,Europe,606573500.0
84,1994,Europe,563996900.0
85,1995,Europe,553299400.0
86,1996,Europe,538348800.0
87,1997,Europe,516268100.0
88,1998,Europe,496668800.0
89,1999,Europe,477225400.0
90,2000,Europe,490292900.0
91,2001,Europe,483564800.0
92,2002,Europe,483561700.0
93,2003,Europe,498403400.0
94,2004,Europe,487080700.0
95,2005,Europe,473543500.0
96,2006,Europe,493578500.0
97,2007,Europe,496611800.0
98,2008,Europe,479186800.0
99,2009,Europe,429461900.0
100,2010,Europe,443589800.0
101,2011,Europe,460930390.0
102,2012,Europe,475464940.0
103,2013,Europe,454296040.0
104,2014,Europe,430919120.0
105,2015,Europe,418184030.0
106,2016,Europe,402701844.0
107,2017,Europe,386611280.0
108,2018,Europe,381764700.0
109,2019,Europe,340342600.0
110,1965,North America,293190000.0
111,1966,North America,306936000.0
112,1967,North America,300903000.0
113,1968,North America,312246000.0
114,1969,North America,312759000.0
115,1970,North America,311980000.0
116,1971,North America,295450000.0
117,1972,North America,305690000.0
118,1973,North America,328200000.0
119,1974,North America,320670000.0
120,1975,North America,320530000.0
121,1976,North America,344860000.0
122,1977,North America,358640000.0
123,1978,North America,351540000.0
124,1979,North America,380500000.0
125,1980,North America,393520000.0
126,1981,North America,405650000.0
127,1982,North America,393360000.0
128,1983,North America,408800000.0
129,1984,North America,439710000.0
130,1985,North America,447850000.0
131,1986,North America,441160000.0
132,1987,North America,460950000.0
133,1988,North America,482770000.0
134,1989,North America,489000000.0
135,1990,North America,489470000.0
136,1991,North America,484560000.0
137,1992,North America,488100000.0
138,1993,North America,502520000.0
139,1994,North America,506700000.0
140,1995,North America,512310000.0
141,1996,North America,535640000.0
142,1997,North America,546850000.0
143,1998,North America,553980000.0
144,1999,North America,552880000.0
145,2000,North America,578150000.0
146,2001,North America,563990000.0
147,2002,North America,568000000.0
148,2003,North America,574780000.0
149,2004,North America,577090000.0
150,2005,North America,587600000.0
151,2006,North America,578500000.0
152,2007,North America,586600000.0
153,2008,North America,575500000.0
154,2009,North America,504800000.0
155,2010,North America,536500000.0
156,2011,North America,507900000.0
157,2012,North America,449900000.0
158,2013,North America,465500000.0
159,2014,North America,463300000.0
160,2015,North America,404600000.0
161,2016,North America,372100000.0
162,2017,North America,364800000.0
163,2018,North America,346000000.0
164,2019,North America,296400000.0
