Year,Country,Oil Consumption per Person
1965,France,1.11
1966,France,1.17
1967,France,1.33
1968,France,1.43
1969,France,1.65
1970,France,1.86
1971,France,2.01
1972,France,2.21
1973,France,2.45
1974,France,2.31
1975,France,2.09
1976,France,2.26
1977,France,2.15
1978,France,2.23
1979,France,2.21
1980,France,2.04
1981,France,1.83
1982,France,1.68
1983,France,1.64
1984,France,1.56
1985,France,1.53
1986,France,1.55
1987,France,1.55
1988,France,1.53
1989,France,1.57
1990,France,1.58
1991,France,1.66
1992,France,1.65
1993,France,1.59
1994,France,1.53
1995,France,1.54
1996,France,1.56
1997,France,1.57
1998,France,1.62
1999,France,1.64
2000,France,1.6
2001,France,1.6
2002,France,1.55
2003,France,1.54
2004,France,1.54
2005,France,1.51
2006,France,1.5
2007,France,1.45
2008,France,1.42
2009,France,1.35
2010,France,1.3
2011,France,1.26
2012,France,1.21
2013,France,1.19
2014,France,1.14
2015,France,1.14
2016,France,1.13
2017,France,1.13
2018,France,1.12
2019,France,1.11
1965,Austria,0.7609999999999999
1966,Austria,0.8320000000000001
1967,Austria,0.88
1968,Austria,1.01
1969,Austria,1.11
1970,Austria,1.21
1971,Austria,1.35
1972,Austria,1.45
1973,Austria,1.56
1974,Austria,1.39
1975,Austria,1.4
1976,Austria,1.52
1977,Austria,1.46
1978,Austria,1.57
1979,Austria,1.64
1980,Austria,1.6
1981,Austria,1.45
1982,Austria,1.38
1983,Austria,1.33
1984,Austria,1.29
1985,Austria,1.29
1986,Austria,1.36
1987,Austria,1.4
1988,Austria,1.38
1989,Austria,1.35
1990,Austria,1.4
1991,Austria,1.5
1992,Austria,1.45
1993,Austria,1.45
1994,Austria,1.42
1995,Austria,1.42
1996,Austria,1.46
1997,Austria,1.48
1998,Austria,1.54
1999,Austria,1.51
2000,Austria,1.47
2001,Austria,1.59
2002,Austria,1.62
2003,Austria,1.74
2004,Austria,1.68
2005,Austria,1.67
2006,Austria,1.66
2007,Austria,1.56
2008,Austria,1.54
2009,Austria,1.45
2010,Austria,1.51
2011,Austria,1.4
2012,Austria,1.39
2013,Austria,1.43
2014,Austria,1.36
2015,Austria,1.34
2016,Austria,1.38
2017,Austria,1.39
2018,Austria,1.4
2019,Austria,1.42
1965,Switzerland,1.38
1966,Switzerland,1.45
1967,Switzerland,1.55
1968,Switzerland,1.7
1969,Switzerland,1.83
1970,Switzerland,2.04
1971,Switzerland,2.14
1972,Switzerland,2.18
1973,Switzerland,2.33
1974,Switzerland,2.06
1975,Switzerland,1.97
1976,Switzerland,2.05
1977,Switzerland,2.07
1978,Switzerland,2.13
1979,Switzerland,2.05
1980,Switzerland,2.04
1981,Switzerland,1.88
1982,Switzerland,1.77
1983,Switzerland,1.93
1984,Switzerland,1.85
1985,Switzerland,1.87
1986,Switzerland,2.04
1987,Switzerland,1.9
1988,Switzerland,1.9
1989,Switzerland,1.81
1990,Switzerland,1.92
1991,Switzerland,1.93
1992,Switzerland,1.93
1993,Switzerland,1.79
1994,Switzerland,1.83
1995,Switzerland,1.69
1996,Switzerland,1.74
1997,Switzerland,1.82
1998,Switzerland,1.83
1999,Switzerland,1.77
2000,Switzerland,1.71
2001,Switzerland,1.82
2002,Switzerland,1.72
2003,Switzerland,1.66
2004,Switzerland,1.64
2005,Switzerland,1.66
2006,Switzerland,1.68
2007,Switzerland,1.5
2008,Switzerland,1.58
2009,Switzerland,1.59
2010,Switzerland,1.46
2011,Switzerland,1.39
2012,Switzerland,1.4
2013,Switzerland,1.45
2014,Switzerland,1.29
2015,Switzerland,1.29
2016,Switzerland,1.2
2017,Switzerland,1.22
2018,Switzerland,1.17
2019,Switzerland,1.18
1965,Germany,1.13
1966,Germany,1.26
1967,Germany,1.29
1968,Germany,1.44
1969,Germany,1.61
1970,Germany,1.77
1971,Germany,1.83
1972,Germany,1.93
1973,Germany,2.06
1974,Germany,1.86
1975,Germany,1.81
1976,Germany,1.96
1977,Germany,1.94
1978,Germany,2.01
1979,Germany,2.08
1980,Germany,1.88
1981,Germany,1.71
1982,Germany,1.62
1983,Germany,1.58
1984,Germany,1.58
1985,Germany,1.63
1986,Germany,1.71
1987,Germany,1.66
1988,Germany,1.65
1989,Germany,1.55
1990,Germany,1.61
1991,Germany,1.67
1992,Germany,1.68
1993,Germany,1.69
1994,Germany,1.67
1995,Germany,1.67
1996,Germany,1.69
1997,Germany,1.68
1998,Germany,1.68
1999,Germany,1.63
2000,Germany,1.59
2001,Germany,1.61
2002,Germany,1.56
2003,Germany,1.52
2004,Germany,1.51
2005,Germany,1.48
2006,Germany,1.48
2007,Germany,1.34
2008,Germany,1.43
2009,Germany,1.37
2010,Germany,1.39
2011,Germany,1.34
2012,Germany,1.33
2013,Germany,1.36
2014,Germany,1.31
2015,Germany,1.3
2016,Germany,1.33
2017,Germany,1.35
2018,Germany,1.28
2019,Germany,1.28
1965,United Kingdom,1.38
1966,United Kingdom,1.47
1967,United Kingdom,1.57
1968,United Kingdom,1.65
1969,United Kingdom,1.77
1970,United Kingdom,1.87
1971,United Kingdom,1.87
1972,United Kingdom,1.98
1973,United Kingdom,2.03
1974,United Kingdom,1.88
1975,United Kingdom,1.64
1976,United Kingdom,1.63
1977,United Kingdom,1.64
1978,United Kingdom,1.68
1979,United Kingdom,1.69
1980,United Kingdom,1.44
1981,United Kingdom,1.33
1982,United Kingdom,1.34
1983,United Kingdom,1.29
1984,United Kingdom,1.59
1985,United Kingdom,1.37
1986,United Kingdom,1.37
1987,United Kingdom,1.33
1988,United Kingdom,1.41
1989,United Kingdom,1.44
1990,United Kingdom,1.45
1991,United Kingdom,1.44
1992,United Kingdom,1.46
1993,United Kingdom,1.46
1994,United Kingdom,1.44
1995,United Kingdom,1.42
1996,United Kingdom,1.45
1997,United Kingdom,1.4
1998,United Kingdom,1.39
1999,United Kingdom,1.36
2000,United Kingdom,1.34
2001,United Kingdom,1.33
2002,United Kingdom,1.32
2003,United Kingdom,1.32
2004,United Kingdom,1.35
2005,United Kingdom,1.39
2006,United Kingdom,1.37
2007,United Kingdom,1.31
2008,United Kingdom,1.27
2009,United Kingdom,1.19
2010,United Kingdom,1.17
2011,United Kingdom,1.14
2012,United Kingdom,1.1
2013,United Kingdom,1.07
2014,United Kingdom,1.06
2015,United Kingdom,1.08
2016,United Kingdom,1.11
2017,United Kingdom,1.11
2018,United Kingdom,1.08
2019,United Kingdom,1.05
1965,Netherlands,2.06
1966,Netherlands,2.21
1967,Netherlands,2.23
1968,Netherlands,2.37
1969,Netherlands,2.56
1970,Netherlands,2.81
1971,Netherlands,2.74
1972,Netherlands,3.01
1973,Netherlands,3.07
1974,Netherlands,2.61
1975,Netherlands,2.55
1976,Netherlands,2.84
1977,Netherlands,2.71
1978,Netherlands,2.74
1979,Netherlands,2.95
1980,Netherlands,2.74
1981,Netherlands,2.55
1982,Netherlands,2.2
1983,Netherlands,2.07
1984,Netherlands,2.03
1985,Netherlands,2.04
1986,Netherlands,2.25
1987,Netherlands,2.25
1988,Netherlands,2.38
1989,Netherlands,2.33
1990,Netherlands,2.4
1991,Netherlands,2.3
1992,Netherlands,2.38
1993,Netherlands,2.34
1994,Netherlands,2.31
1995,Netherlands,2.42
1996,Netherlands,2.41
1997,Netherlands,2.49
1998,Netherlands,2.5
1999,Netherlands,2.54
2000,Netherlands,2.56
2001,Netherlands,2.67
2002,Netherlands,2.66
2003,Netherlands,2.65
2004,Netherlands,2.75
2005,Netherlands,2.91
2006,Netherlands,2.89
2007,Netherlands,2.95
2008,Netherlands,2.8
2009,Netherlands,2.66
2010,Netherlands,2.69
2011,Netherlands,2.73
2012,Netherlands,2.58
2013,Netherlands,2.44
2014,Netherlands,2.32
2015,Netherlands,2.26
2016,Netherlands,2.33
2017,Netherlands,2.23
2018,Netherlands,2.28
2019,Netherlands,2.24
1965,Spain,0.442
1966,Spain,0.517
1967,Spain,0.62
1968,Spain,0.6509999999999999
1969,Spain,0.7340000000000001
1970,Spain,0.828
1971,Spain,0.902
1972,Spain,0.939
1973,Spain,1.12
1974,Spain,1.16
1975,Spain,1.19
1976,Spain,1.33
1977,Spain,1.24
1978,Spain,1.25
1979,Spain,1.31
1980,Spain,1.38
1981,Spain,1.33
1982,Spain,1.25
1983,Spain,1.24
1984,Spain,1.16
1985,Spain,1.11
1986,Spain,1.1
1987,Spain,1.15
1988,Spain,1.17
1989,Spain,1.23
1990,Spain,1.19
1991,Spain,1.22
1992,Spain,1.37
1993,Spain,1.3
1994,Spain,1.36
1995,Spain,1.45
1996,Spain,1.49
1997,Spain,1.54
1998,Spain,1.66
1999,Spain,1.71
2000,Spain,1.71
2001,Spain,1.77
2002,Spain,1.76
2003,Spain,1.78
2004,Spain,1.81
2005,Spain,1.8
2006,Spain,1.78
2007,Spain,1.76
2008,Spain,1.68
2009,Spain,1.55
2010,Spain,1.5
2011,Spain,1.43
2012,Spain,1.34
2013,Spain,1.25
2014,Spain,1.25
2015,Spain,1.29
2016,Spain,1.34
2017,Spain,1.34
2018,Spain,1.37
2019,Spain,1.36
1965,Denmark,2.19
1966,Denmark,2.47
1967,Denmark,2.6
1968,Denmark,2.8
1969,Denmark,3.35
1970,Denmark,3.71
1971,Denmark,3.63
1972,Denmark,3.82
1973,Denmark,3.51
1974,Denmark,3.16
1975,Denmark,3.11
1976,Denmark,3.29
1977,Denmark,3.28
1978,Denmark,3.26
1979,Denmark,3.11
1980,Denmark,2.65
1981,Denmark,2.5
1982,Denmark,2.15
1983,Denmark,2.04
1984,Denmark,2.02
1985,Denmark,2.08
1986,Denmark,2.05
1987,Denmark,1.88
1988,Denmark,1.87
1989,Denmark,1.8
1990,Denmark,1.76
1991,Denmark,1.78
1992,Denmark,1.75
1993,Denmark,1.83
1994,Denmark,1.95
1995,Denmark,2.02
1996,Denmark,2.19
1997,Denmark,2.1
1998,Denmark,2.02
1999,Denmark,2.0
2000,Denmark,1.94
2001,Denmark,1.85
2002,Denmark,1.78
2003,Denmark,1.71
2004,Denmark,1.68
2005,Denmark,1.69
2006,Denmark,1.71
2007,Denmark,1.72
2008,Denmark,1.67
2009,Denmark,1.49
2010,Denmark,1.5
2011,Denmark,1.45
2012,Denmark,1.33
2013,Denmark,1.32
2014,Denmark,1.32
2015,Denmark,1.33
2016,Denmark,1.3
2017,Denmark,1.3
2018,Denmark,1.31
2019,Denmark,1.34
1965,Belgium,1.69
1966,Belgium,1.71
1967,Belgium,1.88
1968,Belgium,2.18
1969,Belgium,2.51
1970,Belgium,2.72
1971,Belgium,2.78
1972,Belgium,3.0
1973,Belgium,3.14
1974,Belgium,2.76
1975,Belgium,2.6
1976,Belgium,2.7
1977,Belgium,2.65
1978,Belgium,2.83
1979,Belgium,2.8
1980,Belgium,2.59
1981,Belgium,2.37
1982,Belgium,2.24
1983,Belgium,2.03
1984,Belgium,1.96
1985,Belgium,1.98
1986,Belgium,2.24
1987,Belgium,2.26
1988,Belgium,2.32
1989,Belgium,2.27
1990,Belgium,2.42
1991,Belgium,2.59
1992,Belgium,2.62
1993,Belgium,2.57
1994,Belgium,2.78
1995,Belgium,2.74
1996,Belgium,2.97
1997,Belgium,3.03
1998,Belgium,3.07
1999,Belgium,2.96
2000,Belgium,3.03
2001,Belgium,3.06
2002,Belgium,3.07
2003,Belgium,3.23
2004,Belgium,3.24
2005,Belgium,3.2
2006,Belgium,3.18
2007,Belgium,3.18
2008,Belgium,3.31
2009,Belgium,2.95
2010,Belgium,3.03
2011,Belgium,2.81
2012,Belgium,2.69
2013,Belgium,2.74
2014,Belgium,2.69
2015,Belgium,2.75
2016,Belgium,2.78
2017,Belgium,2.82
2018,Belgium,2.86
2019,Belgium,2.77
