Year,Type,Energy Consumption
1965,Total_Oil,1305794600.0
1966,Total_Oil,1408473300.0
1967,Total_Oil,1505332800.0
1968,Total_Oil,1640340100.0
1969,Total_Oil,1783656000.0
1970,Total_Oil,1936059000.0
1971,Total_Oil,2038288000.0
1972,Total_Oil,2192176000.0
1973,Total_Oil,2364070000.0
1974,Total_Oil,2293079000.0
1975,Total_Oil,2242378000.0
1976,Total_Oil,2398375000.0
1977,Total_Oil,2476116000.0
1978,Total_Oil,2533370000.0
1979,Total_Oil,2566788000.0
1980,Total_Oil,2420919000.0
1981,Total_Oil,2307904000.0
1982,Total_Oil,2219627000.0
1983,Total_Oil,2204496000.0
1984,Total_Oil,2266437000.0
1985,Total_Oil,2660002000.0
1986,Total_Oil,2744928000.0
1987,Total_Oil,2795332000.0
1988,Total_Oil,2888638000.0
1989,Total_Oil,2933455000.0
1990,Total_Oil,2972222000.0
1991,Total_Oil,2974894000.0
1992,Total_Oil,3031381000.0
1993,Total_Oil,3007336000.0
1994,Total_Oil,3072571000.0
1995,Total_Oil,3105369000.0
1996,Total_Oil,3178420000.0
1997,Total_Oil,3254264000.0
1998,Total_Oil,3266758000.0
1999,Total_Oil,3323685000.0
2000,Total_Oil,3357188000.0
2001,Total_Oil,3381423000.0
2002,Total_Oil,3404524000.0
2003,Total_Oil,3477980000.0
2004,Total_Oil,3609014000.0
2005,Total_Oil,3651521000.0
2006,Total_Oil,3691573000.0
2007,Total_Oil,3732183000.0
2008,Total_Oil,3700638000.0
2009,Total_Oil,3619201000.0
2010,Total_Oil,3731426000.0
2011,Total_Oil,3776404000.0
2012,Total_Oil,3825996000.0
2013,Total_Oil,3865323000.0
2014,Total_Oil,3888596000.0
2015,Total_Oil,3956120000.0
2016,Total_Oil,4033897000.0
2017,Total_Oil,4076700000.0
2018,Total_Oil,4119607000.0
2019,Total_Oil,4154544000.0
1965,Total_Coal,1064095940.0
1966,Total_Coal,1069009310.0
1967,Total_Coal,1041763700.0
1968,Total_Coal,1063349720.0
1969,Total_Coal,1100759360.0
1970,Total_Coal,1124919880.0
1971,Total_Coal,1107829016.0
1972,Total_Coal,1114473673.0
1973,Total_Coal,1155305571.0
1974,Total_Coal,1153027767.0
1975,Total_Coal,1172178013.0
1976,Total_Coal,1226222848.0
1977,Total_Coal,1267132076.0
1978,Total_Coal,1285992312.0
1979,Total_Coal,1357105174.0
1980,Total_Coal,1407755270.0
1981,Total_Coal,1433789580.0
1982,Total_Coal,1444198030.0
1983,Total_Coal,1494578260.0
1984,Total_Coal,1576238600.0
1985,Total_Coal,1987964700.0
1986,Total_Coal,2008425190.0
1987,Total_Coal,2090964270.0
1988,Total_Coal,2153880380.0
1989,Total_Coal,2175998941.0
1990,Total_Coal,2152793400.0
1991,Total_Coal,2135354267.0
1992,Total_Coal,2131163017.0
1993,Total_Coal,2142712384.0
1994,Total_Coal,2157558758.9
1995,Total_Coal,2172904016.45
1996,Total_Coal,2228259396.06
1997,Total_Coal,2220911433.4
1998,Total_Coal,2204595843.0
1999,Total_Coal,2215761905.73
2000,Total_Coal,2288494514.8
2001,Total_Coal,2322318384.1
2002,Total_Coal,2413705848.0
2003,Total_Coal,2626938853.6
2004,Total_Coal,2811970222.8
2005,Total_Coal,3022111034.0
2006,Total_Coal,3181733730.0
2007,Total_Coal,3369233229.0
2008,Total_Coal,3421496072.0
2009,Total_Coal,3376015200.0
2010,Total_Coal,3530074090.0
2011,Total_Coal,3696482520.0
2012,Total_Coal,3717897240.0
2013,Total_Coal,3786002020.0
2014,Total_Coal,3774645670.0
2015,Total_Coal,3681146310.0
2016,Total_Coal,3628576674.0
2017,Total_Coal,3636583510.0
2018,Total_Coal,3690377430.0
2019,Total_Coal,3661157330.0
