Year;Coal;Oil;Natural gas;Biofuels;Waste;Nuclear;Hydro;Geothermal;Solar PV;Wind;Tide;Other sources;Solar thermal;Units
1990;1244032;313578;281753;12144;8532;894678;514106;3606;16;778;503;348;0;Europe
1995;1119088;266264;341868;18273;13536;976239;581527;3854;53;4078;507;823;0;Europe
2000;1121923;208167;586588;27336;21066;1048780;637769;6184;125;22296;507;1502;0;Europe
2005;1166373;157769;818584;59100;27941;1109796;604337;7149;1488;71613;481;10553;0;Europe
2010;1067948;93421;946705;108020;38283;1032101;674509;10735;22668;154020;478;4632;761;Europe
2015;1038043;69628;682912;160933;46482;967736;664632;15042;105745;319007;489;6184;5593;Europe
2018;890941;58453;819543;172119;52442;936917;672950;20098;135642;403390;489;6052;4867;Europe
1990;990313;435951;257461;10431;170;294459;417340;10525;70;34;7;19591;0;Asia
1995;1522623;450315;398996;14454;490;414897;500993;13790;132;604;7;23041;0;Asia
2000;2159105;377974;595337;16225;1912;505153;537320;22875;433;2614;7;20068;0;Asia
2005;3368081;350241;789891;30758;4650;564402;752856;23008;1620;11747;7;20836;1;Asia
2010;4954627;268941;1149656;63178;27841;582021;1133099;27913;5620;77063;7;21263;5;Asia
2015;6376008;233685;1361424;114104;33269;423478;1597358;31669;103279;245696;504;21956;31;Asia
2018;7331682;174644;1475911;200173;44639;569385;1792524;35065;309461;466339;496;21006;303;Asia
1990;1789642;209179;405783;74891;15440;687493;609286;21136;4;663;3067;26;0;North America
1995;1935372;166923;574554;52182;19194;820093;701418;20610;13;824;3262;33;0;North America
2000;2266080;226771;711891;57561;24050;878738;671739;20522;206;526;5933;32;0;North America
2005;2287284;225408;924416;59251;22955;913571;687666;24077;550;596;19467;28;647;North America
2010;2106017;101011;1216746;62114;20430;935468;674925;24195;3349;879;105111;28;6750;North America
2015;1566860;78324;1623460;71968;19119;943674;684210;25058;35225;3544;228701;13;5659;North America
2018;1351824;84197;1784756;72037;18992;955735;735591;24057;86896;3940;321892;20;5482;North America
1990;16090;66941;43648;7526;0;9518;363195;0;805;0;0;0;0;South America
1995;18717;76788;59589;9774;0;9585;464038;0;1221;8;0;0;0;South America
2000;24128;104367;97057;11709;0;12223;551018;0;2098;231;32;372;0;South America
2005;25744;119009;131520;19304;0;16728;622010;0;2636;737;60;805;0;South America
2010;38738;147906;178078;42893;0;21694;694383;0;3274;3457;58;495;0;South America
2015;72408;161051;268998;66572;0;21773;667513;0;3857;31133;2477;390;0;South America
2018;67044;98130;246309;71969;0;22576;713196;0;4124;65642;12451;447;0;South America
1990;272957;283025;198121;9971;0;255159;141460;3873;68;19591;0;0;0;Oceania
1995;375675;260562;237823;11236;0;358283;141839;5334;124;23041;11;0;0;Oceania
2000;539146;183913;313612;11610;128;431014;143611;6269;400;20068;303;0;0;Oceania
2005;665402;171025;348646;18807;326;451534;130504;6385;1514;20837;3392;1;0;Oceania
2010;746752;123101;505378;19408;13498;436826;135457;8500;4775;21295;11530;3;0;Oceania
2015;780569;117458;624705;25423;15277;174199;135063;10451;44948;21957;20760;4;496;Oceania
2018;729390;68213;595016;30805;24810;209689;135789;10775;104703;21570;30437;4;474;Oceania
1990;164378;40662;45131;406;0;8449;57918;326;0;0;0;0;0;Africa
1995;186509;37684;66519;355;0;11301;61572;390;6;0;0;0;0;Africa
2000;208651;36761;106398;925;0;13010;77817;434;232;4;107;0;0;Africa
2005;249540;51107;155857;1041;0;11293;92952;1003;819;15;141;0;0;Africa
2010;259289;64105;220265;1479;0;12099;113078;1471;2373;318;564;0;0;Africa
2015;254730;89878;279261;2003;0;12237;124209;4479;8555;2519;1551;194;0;Africa
2018;260201;66726;334466;2069;0;11580;136074;5186;14171;5277;1674;1978;0;Africa
